ed,depth,size,time
5,9,15689560,
5,9,16552592,
5,10,17008232,
5,10,16252583,
5,10,16777237,
5,10,17148940,
5,10,18001405,
5,10,17005600,
5,10,16153945,
5,10,17314851,
5,10,14970084,
5,10,16700091,
5,10,15826396,
5,10,16465843,
5,10,18462463,
5,10,17717579,
5,10,17947022,
5,10,17122833,
5,10,15263333,
5,10,15702913,
5,10,17639896,
5,10,16242431,
5,10,16355792,
5,10,16090122,
5,10,17349033,
5,10,18667224,
5,10,17570898,
5,10,17170088,
5,10,16500525,
5,10,17873793,
5,10,14946409,
5,10,15760988,
5,10,17059857,
5,10,16627158,
5,10,17717394,
5,10,18521456,
5,10,16564045,
5,10,15831097,
5,10,15552631,
5,10,16670857,
5,10,16234334,
5,10,17119279,
7,1,29806984,
7,1,29902097,
7,1,31313207,
7,1,30799147,
7,1,30846389,
7,1,32565600,
7,1,32973625,
7,1,33309284,
7,1,30570617,
7,1,29806713,
7,1,31015871,
7,1,28117415,
7,1,34434553,
7,1,30658363,
7,1,33258455,
7,1,32132305,
7,1,28377290,
7,1,28802371,
7,1,30111754,
7,1,29995067,
7,1,28547436,
7,1,34004748,
7,1,30954118,
7,1,33686685,
7,1,32240012,
7,1,32110315,
7,1,29809051,
7,1,32131843,
7,1,28018371,
7,1,31385553,
7,1,30291575,
7,1,31059976,
7,1,32495336,
7,1,33991120,
7,1,30456783,
7,1,30740071,
7,1,30246324,
7,1,29028809,
7,1,28248781,
7,1,31802137,
7,2,40438063,
7,2,41801591,
7,2,40865412,
7,2,41667752,
7,2,42079011,
7,2,44402723,
7,2,44105062,
7,2,44728787,
7,2,40241168,
7,2,41986648,
7,2,41788132,
7,2,38389765,
7,2,46154639,
7,2,41046784,
7,2,44778985,
7,2,43388436,
7,2,39439510,
7,2,38565434,
7,2,40953990,
7,2,38423861,
7,2,40628990,
7,2,45362332,
7,2,41592791,
7,2,45736718,
7,2,43381671,
7,2,43732938,
7,2,40136953,
7,2,38281695,
7,2,42360199,
7,2,43267583,
7,2,41277375,
7,2,41771358,
7,2,43921115,
7,2,41518476,
7,2,41264551,
7,2,45734858,
7,2,38798307,
7,2,39266456,
7,2,41050784,
7,2,42889310,
7,3,50550071,
7,3,48840578,
7,3,50427718,
7,3,49676385,
7,3,53815375,
7,3,52769626,
7,3,50120622,
7,3,53791707,
7,3,50613006,
7,3,48375704,
7,3,49229998,
7,3,55270095,
7,3,50536727,
7,3,53730114,
7,3,52217238,
7,3,46686707,
7,3,46658717,
7,3,47886057,
7,3,46316034,
7,3,54285429,
7,3,49390488,
7,3,50088255,
7,3,49061094,
7,3,55369574,
7,3,52250561,
7,3,52909248,
7,3,48289786,
7,3,46464390,
7,3,51026352,
7,3,49893799,
7,3,52069898,
7,3,50180148,
7,3,52927724,
7,3,54843280,
7,3,49871167,
7,3,49972449,
7,3,49483753,
7,3,47411038,
7,3,47127403,
7,3,51429017,
7,4,56596085,
7,4,55225464,
7,4,56427934,
7,4,57052046,
7,4,59491900,
7,4,57019316,
7,4,60954831,
7,4,60692593,
7,4,57317162,
7,4,57107505,
7,4,54514119,
7,4,52907822,
7,4,55321362,
7,4,62255572,
7,4,60574647,
7,4,58971728,
7,4,54343282,
7,4,52766941,
7,4,55981930,
7,4,61056818,
7,4,55485699,
7,4,56505023,
7,4,52259389,
7,4,62686709,
7,4,58910251,
7,4,59960579,
7,4,58796093,
7,4,54441417,
7,4,52619842,
7,4,56546838,
7,4,57526506,
7,4,56509946,
7,4,59821428,
7,4,55999788,
7,4,56403406,
7,4,53577497,
7,4,56458021,
7,4,53590124,
7,4,61884746,
7,4,58067657,
7,5,62092231,
7,5,62689958,
7,5,60637580,
7,5,62527707,
7,5,65228229,
7,5,62237726,
7,5,67013012,
7,5,66565021,
7,5,63047917,
7,5,59705033,
7,5,62688928,
7,5,60506861,
7,5,68194546,
7,5,58172507,
7,5,64738200,
7,5,66389320,
7,5,59860179,
7,5,57943984,
7,5,60967744,
7,5,61604748,
7,5,57337384,
7,5,62006835,
7,5,66776657,
7,5,68921138,
7,5,64572478,
7,5,65960270,
7,5,59663577,
7,5,64527426,
7,5,63050091,
7,5,57859237,
7,5,62164135,
7,5,61876987,
7,5,65685438,
7,5,62089697,
7,5,61883976,
7,5,61521113,
7,5,67913697,
7,5,59093425,
7,5,58863542,
7,5,63716258,
7,6,67119181,
7,6,65610525,
7,6,67571805,
7,6,67583057,
7,6,67859328,
7,6,72574015,
7,6,71970366,
7,6,70476208,
7,6,64439405,
7,6,68284918,
7,6,67786567,
7,6,63022201,
7,6,73612859,
7,6,65233071,
7,6,71672931,
7,6,70017904,
7,6,64916181,
7,6,62693657,
7,6,66730775,
7,6,72018656,
7,6,62012021,
7,6,65984193,
7,6,67060837,
7,6,74652847,
7,6,69772762,
7,6,71449964,
7,6,64452069,
7,6,69787235,
7,6,62659749,
7,6,68108962,
7,6,67298629,
7,6,66785143,
7,6,67248770,
7,6,66557063,
7,6,66915540,
7,6,71060301,
7,6,73408245,
7,6,63696193,
7,6,64138251,
7,6,68855413,
7,7,72064928,
7,7,70013363,
7,7,71566067,
7,7,72461833,
7,7,75145456,
7,7,77510643,
7,7,72353013,
7,7,76729321,
7,7,72931758,
7,7,68629502,
7,7,72331504,
7,7,78448393,
7,7,67304834,
7,7,69408064,
7,7,74708333,
7,7,76360557,
7,7,66895929,
7,7,69409462,
7,7,66156893,
7,7,70444395,
7,7,71556719,
7,7,71304346,
7,7,76670318,
7,7,79753011,
7,7,74381154,
7,7,76327036,
7,7,68679499,
7,7,74457522,
7,7,66908967,
7,7,72578155,
7,7,71854767,
7,7,71118748,
7,7,75812882,
7,7,71375024,
7,7,71037632,
7,7,71846373,
7,7,78307272,
7,7,68631727,
7,7,67995966,
7,7,73446179,
7,8,76729955,
7,8,75704294,
7,8,74090481,
7,8,76230270,
7,8,76807330,
7,8,81150860,
7,8,79482689,
7,8,82080639,
7,8,72495681,
7,8,77216831,
7,8,76535656,
7,8,71278566,
7,8,73261517,
7,8,82923752,
7,8,80700353,
7,8,79060917,
7,8,70797480,
7,8,73586579,
7,8,74590644,
7,8,75546221,
7,8,70006865,
7,8,75726296,
7,8,80991741,
7,8,84488954,
7,8,78654279,
7,8,72598220,
7,8,80858076,
7,8,76725584,
7,8,70851431,
7,8,78790453,
7,8,76081129,
7,8,75128376,
7,8,75515562,
7,8,76122386,
7,8,80228876,
7,8,82858402,
7,8,72821169,
7,8,75188790,
7,8,71976572,
7,8,77714818,
7,9,77949904,
7,9,80765064,
7,9,79608099,
7,9,80182040,
7,9,81043528,
7,9,83602328,
7,9,86418481,
7,9,85381293,
7,9,76158144,
7,9,81283573,
7,9,80505595,
7,9,84797081,
7,9,87145766,
7,9,76924479,
7,9,75056803,
7,9,83186098,
7,9,77534572,
7,9,74483815,
7,9,79560187,
7,9,78513871,
7,9,73659434,
7,9,85070664,
7,9,79695740,
7,9,88980232,
7,9,82697595,
7,9,85126941,
7,9,76308568,
7,9,74608822,
7,9,80643441,
7,9,82913260,
7,9,80058760,
7,9,78908091,
7,9,80189614,
7,9,79440746,
7,9,84422390,
7,9,87162325,
